[script #256]  ; orig idx=256, "Darkness", offset 0xE97000, special: Deal 1x Damage + Apply Slow
FC 15 00 00    | If... Variable $000 has unset bit 0x01
F3 01 00       | > Display message 1: We are the Cloud of Darkness_ We've come to return the world...
B7             | > Wave Cannon
F9 01 00 00    | > Modify var. bits [$000: Set 0x01]
FE             | > End of if statement, reset target and wait
FC 0D 03 03    | If... Variable $003 is 3 or more
F0 97 BB 97    | > Random spell: [Night] or [Absolute Zero] or [Night]
F0 EF EF CE    | > Random spell: [Special: Tentacle of Scorn] or [Special: Tentacle of Scorn] or [Entice]
FD             | > Wait for next turn, reset target
F0 AD EF AD    | > Random spell: [Fusillade Particle Beam] or [Special: Tentacle of Scorn] or [Fusillade Particle Beam]
F0 A5 9C 9C    | > Random spell: [Poison Fog] or [Bad Breath] or [Bad Breath]
FD             | > Wait for next turn, reset target
F0 AC AC A4    | > Random spell: [Aura Ball] or [Aura Ball] or [Thunder Call]
EB             | > Life Shaver
FD             | > Wait for next turn, reset target
B7             | > Wave Cannon
FE             | > End of if statement, reset target and wait
F0 EF A4 AD    | Random spell: [Special: Tentacle of Scorn] or [Thunder Call] or [Fusillade Particle Beam]
EF             | Special: Tentacle of Scorn
FD             | Wait for next turn, reset target
AC             | Aura Ball
F0 EF EF CE    | Random spell: [Special: Tentacle of Scorn] or [Special: Tentacle of Scorn] or [Entice]
FD             | Wait for next turn, reset target
F0 AD A4 EF    | Random spell: [Fusillade Particle Beam] or [Thunder Call] or [Special: Tentacle of Scorn]
BB             | Absolute Zero
FE             | End of if statement, reset target and wait
FF             @ End of action script, begin counter-attack script
FC 0C 03 04    | If... Variable $003 is less than 4
FC 12 00 00    | > If... Monsters <Self> are dead
F5 00 00 00    | >> Adjust enemies: Monsters <Self> => Unhide, refill HP
F8 03 81       | >> Modify variable [$003 + 1]
FE             | >> End of if statement, reset target and wait
FC 12 01 00    | If... Monsters <0> are dead
F3 02 00       | > Display message 2: Darkness can only return to darkness_
F5 0C 01 FF    | > Adjust enemies: Monsters <ALL> => Boss Death
FE             | > End of if statement, reset target and wait
FC 02 17 42    | If... Hit by spell [Ultima] or [Perfect Ultima]
F0 FE FE AF    | > Random spell: [Nothing] or [Nothing] or [Reflective Particle Beam]
F8 02 81       | > Modify variable [$002 + 1]
FC 0D 02 03    | > If... Variable $002 is 3 or more
35             | >> Holy
16             | >> Flare
23             | >> Meteor
F8 02 00       | >> Modify variable [$002 = 0]
FE             | >> End of if statement, reset target and wait
FC 0D 03 03    | If... Variable $003 is 3 or more
FC 05 00 00    | > If... HP is decreased
F0 AF FE EB    | >> Random spell: [Reflective Particle Beam] or [Nothing] or [Life Shaver]
FE             | >> End of if statement, reset target and wait
FC 05 00 00    | If... HP is decreased
F0 FE FE AF    | > Random spell: [Nothing] or [Nothing] or [Reflective Particle Beam]
